Laranjal;;;;;
Codigo;Expositor;Posicao;Unidade (Peça, M2 ou ML);Referencia;Quantidade
;1;1;Metro Quadrado;8045577;1
1065093;1;2;Metro Quadrado;8045585 / 8038532;1
1118706;1;3;Metro Quadrado;8044921;1
;1;4;Metro Quadrado;8049694;1
1067429;1;5;Metro Quadrado;8038537;1
1108875;1;6;Metro Quadrado;8044930;1
1094756;1;7;Metro Quadrado;8045538 / 8043397;1
1079661;1;8;Metro Quadrado;8045566 / 8046412 / 8043550;1
1115217;1;9;Metro Quadrado;8045540;1
1107530;1;10;Metro Quadrado;8043398;1
;1;11;Metro Quadrado;8049680;1
;1;12;Metro Quadrado;8049681;1
1053582;1;13;Metro Quadrado;8045557 / 8039094 / 8027909;1
1058511;1;14;Metro Quadrado;8045555;1
1083762;1;15;Metro Quadrado;8045527 / 8046414 / 8040295;1
1095972;1;16;Metro Quadrado;8045549 / 8046416 / 8042478;1
1059358;1;17;Metro Quadrado;8045544 / 8041754 / 8029863;1
;1;18;Metro Quadrado;8049691;1
1091401;1;19;Metro Quadrado;C8046415C;1
;1;20;Metro Quadrado;8049688;2
1116607;1;21;Metro Quadrado;8045966;1
;1;22;Metro Quadrado;8049689;1
1116622;1;23;Metro Quadrado;8046322;1
1110221;1;24;Metro Quadrado;8045539;1
1113478;1;25;Metro Quadrado;8044927;1
1116665;1;26;Metro Quadrado;8044928;1
1113599;1;27;Metro Quadrado;8041660;1
1092174;1;28;Metro Quadrado;8045528 / 8043634 / 8040296;1
;1;29;Metro Quadrado;8045531;1
1081979;1;30;Metro Quadrado;8045567 / 8046413 / 8043549;1
1088317;1;31;Metro Quadrado;8045568 / 8043644;1
1065128;1;32;Metro Quadrado;8042060 / 8037301;1
;1;33;Metro Quadrado;8049692;1
1108494;1;34;Metro Quadrado;8044938;1
1060603;1;35;Metro Quadrado;8045545 / 8042025 / 8029864;1
1076488;1;36;Metro Quadrado;8045578 / 8040358;1
1107950;1;37;Metro Quadrado;8044932;1
1127824;1;38;Metro Quadrado;8049504;1
1127823;1;39;Metro Quadrado;8049500;1
;1;40;Metro Quadrado;8049502;1
1061365;1;41;Metro Quadrado;8045522 / 8042052 / 8031076;1
1054590;1;42;Metro Quadrado;8045805 / 8046417 / 8024174;1
1077388;1;43;Metro Quadrado;8045532 / 8046418 / 8042057;1
1062477;1;44;Metro Quadrado;8045520 / 8031075 / 8042050;1
1127814;1;45;Metro Quadrado;8049676;1
1112761;1;46;Metro Quadrado;8044934;1
1062362;1;47;Metro Quadrado;8045547 / 8042058 / 8034900;1
1096915;1;48;Metro Quadrado;8045552 / 8043173;1
1062971;1;49;Metro Quadrado;8045533 / 8034902 / 8036891;1
1062969;1;50;Metro Quadrado;8045548;1
1061973;1;51;Metro Quadrado;6059800A;1
1079669;1;52;Metro Quadrado;6061309A;1
1080402;1;53;Metro Quadrado;6061310A;1
1099695;1;54;Metro Quadrado;6061311A;1
1074931;1;55;Metro Quadrado;6060867A;1
1109733;1;56;Metro Quadrado;6060863A;1
1059422;1;57;Metro Quadrado;6058856A;1
1088248;1;58;Metro Quadrado;6061471A;1
1059590;1;59;Metro Quadrado;;1
1063621;1;60;Metro Quadrado;6060328A;1
1063620;1;61;Metro Quadrado;66060327A;1
1069941;1;62;Metro Quadrado;6059507A;1
1063332;1;63;Metro Quadrado;6059506;1
1126888;1;64;Metro Quadrado;6062645;1
;1;65;Metro Quadrado;6062595;1
1126117;1;66;Metro Quadrado;6062594;1
;1;67; Metro Quadrado;6062638;1
1126151;1;68;Metro Quadrado;6062641;1
1128169;1;69;Metro Quadrado;6062546;1
1060914;1;70;Metro Quadrado;6059062A;1
1054856;1;71;Metro Quadrado;6057735A;1
1112673;1;72;Metro Quadrado;6061842A;1
1115721;1;73;;6062359A;1
;1;74;Metro Quadrado;Lounge Gr Nat;1
1072958;1;75;Metro Quadrado;6060878;1
1085081;1;76;Metro Quadrado;6061472A;1
1076335;1;77;Metro Quadrado;6060870A;1
1119431;1;78;Metro Quadrado;;1
1099373;1;79;Metro Quadrado;6061713A;1
1095312;1;80;Metro Quadrado;6061711A;1
1093657;1;81;Metro Quadrado;6061709A;1
1065452;1;82;Metro Quadrado;6060630A;1
1046774;1;83;Metro Quadrado;6054652A;1
1046376;1;85;Metro Quadrado;6054654A;1
1046159;1;86;Metro Quadrado;6054651A;1
1046141;1;87;Metro Quadrado;6054650A;1
1085094;1;88;Metro Quadrado;6061121A;1
1042263;1;89;Metro Quadrado;6053769A;1
1053149;1;90;Metro Quadrado;6057059A;1
1064309;1;91;Metro Quadrado;6060064A;1
1077774;1;92;Metro Quadrado;6061314A;1
;1;93;Metro Quadrado;6062545;1
1060689;1;94;Metro Quadrado;6059061A;1
1077140;1;95;Metro Quadrado;6061315A;1
;1;96;Metro Quadrado;203710E;1
1130460;1;97;Metro Quadrado;203712E;1
1117866;1;98;Metro Quadrado;201397;1
1056809;1;99;Metro Quadrado;24614E;1
1058418;1;100;Metro Quadrado;24613E;1
1100524;1;101;Metro Quadrado;26761E;1
1063616;1;102;Metro Quadrado;27025E;1
1116132;1;103;Metro Quadrado;201435;1
1119584;1;104;Metro Quadrado;201438;1
1117491;1;105;Metro Quadrado;201436;1
1128573;1;106;Metro Quadrado;204636E;1
1123932;1;107;Metro Quadrado;201396E;1
1129868;1;108;Metro Quadrado;204635E;1
1106256;1;109;Metro Quadrado;29636E;1
1122572;1;109;Metro Quadrado;202379E;1
1062721;1;110;Metro Quadrado;27028E;1
1062722;1;111;Metro Quadrado;27030E;1
1095717;1;112;Metro Quadrado;27027E;1
1058564;1;113;Metro Quadrado;24615;1
1109477;1;114;Metro Quadrado;29579E;1
1125958;1;115;Metro Quadrado;ROC04CZ00041;1
1125961;1;116;Metro Quadrado;ROC04DI00021;1
1068816;1;117;Metro Quadrado;FYF049B021;4
1115672;1;118;Metro Quadrado;F26009BBR1;1
1076300;1;119;Metro Quadrado;FJJ019B011;1
1122900;1;120;Metro Quadrado;FPF019B021;1
1107578;1;121;Metro Quadrado;FZ1019B101;1
1115686;1;122;Metro Quadrado;F90009B011;1
1125992;1;123;Metro Quadrado;INC04DI0018A;1
1125993;1;124;Metro Quadrado;INC04CZ0005A;1
1107690;1;125;Metro Quadrado;96080014A;1
1078493;1;126;Metro Quadrado;96080012A;1
1115663;1;127;Metro Quadrado;INC6CZ0002A;1
1080940;1;128;Metro Quadrado;96080020A;1
1115665;1;129;Metro Quadrado;INC06CZ0003A;1
1111175;1;130;Metro Quadrado;96080016A;1
;1;131;Metro Quadrado;96080018;1
1115683;1;132;Metro Quadrado;INC08CF0002A;1
1126197;1;133;Metro Quadrado;INC08DI0036;1
1088793;1;134;Metro Quadrado;64240068A;1
1115664;1;135;Metro Quadrado;INC08CZ0002A;1
1123067;1;136;Metro Quadrado;INC08DI0037A;1
1122047;1;137;Metro Quadrado;INC08DI0014;1
1121837;1;138;Metro Quadrado;640240064A;1
;1;139;Metro Quadrado;INC08di0016;1
;1;140;Metro Quadrado;INC08di0017;1
1122410;1;141;Metro Quadrado;INC08DI0015;1
1125997;1;142;Metro Quadrado;INC04DI0016A;1
1125996;1;143;Metro Quadrado;INC04DI0014A;1
1127945;1;144;Metro Quadrado;INCSPDI0001A;1
1062201;1;145;Metro Quadrado;64240018;1
1116476;1;146;Metro Quadrado;910019;1
1078397;1;147;Metro Quadrado;910003A;1
1099454;1;148;Metro Quadrado;910020;1
;1;149;Metro Quadrado;910014;1
1098844;1;150;Metro Quadrado;910021;1
;1;151;Metro Quadrado;910012;1
1100129;1;152;Metro Quadrado;920002;1
1091664;1;153;Metro Quadrado;920024A;1
1078212;1;154;Metro Quadrado;920008A;1
1098769;1;155;Metro Quadrado;920025;1
1091662;1;156;Metro Quadrado;920021A;1
1098782;1;157;Metro Quadrado;920014;1
1108254;1;158;Metro Quadrado;920032;1
1129988;1;159;Metro Quadrado;;1
1129987;1;160;Metro Quadrado;;1
1054857;1;;;6057736A;
1062041;1;;;6059222A;
1077136;1;;;6061131A;
1082395;1;;;6061128A;
1099763;1;;;6061840A;
1113353;1;;;6060879A;
1119716;1;;;;
1124020;1;;;6060880;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
